pitch,roll,yawRate,distanceCM,pressureDeltaPa,isDriving,gForce,smoothedTotalEnergy,label_isHandling,label_isFreeFalling,label_hazardDetected,label_isImpactDetected
-5.134,-1.729,-0.001,220.16,0.41,0,1.044,0.168,0,0,0,0
-5.134,-1.729,-0.001,220.16,0.41,0,1.044,0.168,0,0,0,0
-5.135,-1.728,0,221.04,0.17,0,1.037,0.168,0,0,0,0
-5.135,-1.728,0,221.04,0.17,0,1.037,0.168,0,0,0,0
-5.135,-1.728,0,221.04,0.17,0,1.037,0.168,0,0,0,0
-5.133,-1.724,-0.002,221.04,0,0,1.038,0.168,0,0,0,0
-5.133,-1.724,-0.002,221.04,0,0,1.038,0.168,0,0,0,0
-5.133,-1.724,-0.002,221.04,0,0,1.038,0.168,0,0,0,0
-5.131,-1.729,0,221.04,0,0,1.043,0.168,0,0,0,0
-5.131,-1.729,0,221.04,0,0,1.043,0.168,0,0,0,0
-5.136,-1.729,0,228.07,0.53,0,1.038,0.168,0,0,0,0
-5.136,-1.729,0,228.07,0.53,0,1.038,0.168,0,0,0,0
-5.136,-1.729,0,228.07,0.53,0,1.038,0.168,0,0,0,0
-5.136,-1.729,0,228.07,0.53,0,1.038,0.23,0,0,0,0
-5.132,-1.73,-0.001,228.51,0,0,1.036,0.23,0,0,0,0
-5.132,-1.73,-0.001,228.51,0,0,1.036,0.23,0,0,0,0
-5.128,-1.73,0,228.56,0.17,0,1.032,0.23,0,0,0,0
-5.128,-1.73,0,228.56,0.17,0,1.032,0.23,0,0,0,0
-5.128,-1.73,0,228.56,0.17,0,1.032,0.23,0,0,0,0
-5.128,-1.73,0,228.56,0.17,0,1.032,0.23,0,0,0,0
-5.128,-1.73,0,228.56,0.17,0,1.032,0.23,0,0,0,0
-5.128,-1.73,0,228.56,0.17,0,1.032,0.23,0,0,0,0
-5.125,-1.739,-0.001,228.56,0.17,0,1.033,0.232,0,0,0,0
-5.125,-1.739,-0.001,228.56,0.17,0,1.033,0.232,0,0,0,0
-5.125,-1.739,-0.001,228.95,0,0,1.033,0.232,0,0,0,0
-5.123,-1.738,-0.001,228.96,0,0,1.044,0.162,0,0,0,0
-5.123,-1.738,-0.001,228.96,0,0,1.044,0.162,0,0,0,0
-5.123,-1.738,-0.001,228.96,0,0,1.044,0.162,0,0,0,0
-5.122,-1.74,0.001,219.7,0,0,1.05,0.162,0,0,0,0
-5.122,-1.74,0.001,219.7,0,0,1.05,0.162,0,0,0,0
-5.122,-1.74,0.001,219.7,0,0,1.05,0.162,0,0,0,0
-5.125,-1.741,-0.001,219.7,0,0,1.041,0.154,0,0,0,0
-5.125,-1.741,-0.001,219.7,0,0,1.041,0.176,0,0,0,0
-5.125,-1.741,-0.001,219.7,0,0,1.041,0.176,0,0,0,0
-5.123,-1.738,0.001,219.7,-0.37,0,1.049,0.155,0,0,0,0
-5.123,-1.738,0.001,219.7,-0.37,0,1.049,0.155,0,0,0,0
-5.123,-1.738,0.001,219.7,-0.37,0,1.049,0.155,0,0,0,0
-5.124,-1.737,0.001,219.7,0,0,1.054,0.171,0,0,0,0
-5.124,-1.737,0.001,219.7,0,0,1.054,0.171,0,0,0,0
-5.122,-1.738,-0.002,220.6,0,0,1.038,0.171,0,0,0,0
-5.122,-1.738,-0.002,220.6,0,0,1.038,0.203,0,0,0,0
-5.122,-1.738,-0.002,220.6,0,0,1.038,0.203,0,0,0,0
-5.119,-1.739,0.001,228.54,0,0,1.05,0.203,0,0,0,0
-5.119,-1.739,0.001,228.54,0,0,1.05,0.182,0,0,0,0
-5.119,-1.739,0.001,228.54,0,0,1.05,0.182,0,0,0,0
-5.119,-1.739,0.001,228.54,0,0,1.05,0.182,0,0,0,0
-5.122,-1.742,0.001,228.56,-0.18,0,1.054,0.182,0,0,0,0
-5.122,-1.742,0.001,228.56,-0.18,0,1.054,0.182,0,0,0,0
-5.122,-1.742,0.001,228.56,-0.18,0,1.054,0.182,0,0,0,0
-5.117,-1.745,0.001,228.56,-0.16,0,1.038,0.182,0,0,0,0
-5.117,-1.745,0.001,228.56,-0.16,0,1.038,0.182,0,0,0,0
-5.117,-1.745,0.001,228.56,-0.16,0,1.038,0.182,0,0,0,0
-5.113,-1.747,0.002,220.6,-0.16,0,1.043,0.22,0,0,0,0
-5.113,-1.747,0.002,220.6,-0.16,0,1.043,0.22,0,0,0,0
-5.113,-1.747,0.002,220.6,-0.16,0,1.043,0.22,0,0,0,0
-5.111,-1.742,-0.001,220.6,0,0,1.049,0.22,0,0,0,0
-5.111,-1.742,-0.001,220.6,0,0,1.049,0.22,0,0,0,0
-5.111,-1.742,-0.001,220.6,0,0,1.049,0.224,0,0,0,0
-5.109,-1.74,0.002,220.6,-0.34,0,1.054,0.224,0,0,0,0
-5.109,-1.74,0.002,220.6,-0.34,0,1.054,0.224,0,0,0,0
-5.109,-1.737,0,220.6,0,0,1.043,0.224,0,0,0,0
-5.109,-1.737,0,220.6,0,0,1.043,0.225,0,0,0,0
-5.109,-1.737,0,220.6,0,0,1.043,0.225,0,0,0,0
-5.106,-1.74,0.001,220.6,0,0,1.045,0.225,0,0,0,0
-5.106,-1.74,0.001,220.56,0.36,0,1.045,0.206,0,0,0,0
-5.106,-1.74,0.001,220.56,0.36,0,1.045,0.206,0,0,0,0
-5.11,-1.74,0.001,220.56,0,0,1.058,0.206,0,0,0,0
-5.11,-1.74,0.001,220.56,0,0,1.058,0.205,0,0,0,0
-5.11,-1.74,0.001,220.56,0,0,1.058,0.205,0,0,0,0
-5.11,-1.74,0.001,220.56,0,0,1.058,0.205,0,0,0,0
-5.11,-1.738,0,220.56,0,0,1.052,0.202,0,0,0,0
-5.11,-1.738,0,220.56,0,0,1.052,0.202,0,0,0,0
-5.11,-1.738,0,220.56,0,0,1.052,0.202,0,0,0,0
-5.119,-1.736,0,220.56,-0.16,0,1.04,0.202,0,0,0,0
-5.119,-1.736,0,220.56,-0.16,0,1.04,0.202,0,0,0,0
-5.119,-1.736,0,220.56,-0.16,0,1.04,0.202,0,0,0,0
-5.119,-1.737,0.001,220.16,-0.16,0,1.045,0.205,0,0,0,0
-5.119,-1.737,0.001,220.16,-0.16,0,1.045,0.205,0,0,0,0
-5.119,-1.737,0.001,220.16,-0.16,0,1.045,0.205,0,0,0,0
-5.123,-1.739,0.001,219.72,-0.17,0,1.04,0.205,0,0,0,0
-5.123,-1.739,0.001,219.72,-0.17,0,1.04,0.205,0,0,0,0
-5.123,-1.739,0.001,219.72,-0.17,0,1.04,0.205,0,0,0,0
-5.123,-1.737,0.001,219.72,0.03,0,1.032,0.205,0,0,0,0
-5.123,-1.737,0.001,219.72,0.03,0,1.032,0.205,0,0,0,0
-5.127,-1.737,0,219.72,-0.18,0,1.032,0.205,0,0,0,0
-5.127,-1.737,0,219.72,-0.18,0,1.032,0.176,0,0,0,0
-5.127,-1.737,0,219.72,-0.18,0,1.032,0.176,0,0,0,0
-5.127,-1.737,0,219.72,-0.18,0,1.032,0.176,0,0,0,0
-5.127,-1.736,0.001,219.72,0.2,0,1.035,0.176,0,0,0,0
-5.127,-1.736,0.001,219.72,0.2,0,1.035,0.176,0,0,0,0
-5.127,-1.736,0.001,219.72,0.2,0,1.035,0.176,0,0,0,0
-5.127,-1.736,0.002,219.72,-0.34,0,1.034,0.208,0,0,0,0
-5.127,-1.736,0.002,219.72,-0.34,0,1.034,0.208,0,0,0,0
-5.127,-1.736,0.002,219.72,-0.34,0,1.034,0.208,0,0,0,0
-5.127,-1.736,0.002,219.72,-0.34,0,1.034,0.163,0,0,0,0
-5.127,-1.736,0.002,219.72,-0.34,0,1.034,0.163,0,0,0,0
-5.127,-1.736,0.002,219.72,-0.34,0,1.034,0.163,0,0,0,0
-5.123,-1.728,0.003,219.67,0.19,0,1.039,0.147,0,0,0,0
